,Survived
217,0
52,1
338,1
749,0
720,1
725,0
296,0
702,0
252,0
727,1
462,0
456,0
887,1
270,0
202,0
162,0
556,1
730,1
402,0
703,0
477,0
772,0
106,1
566,0
390,1
1,1
832,0
562,0
81,1
206,0
34,0
776,0
509,1
428,0
455,1
367,1
92,0
340,1
565,0
346,1
777,1
242,0
13,0
316,1
601,0
388,0
274,1
167,0
883,0
647,1
819,0
485,0
871,1
505,0
833,0
244,0
567,0
563,0
687,0
190,1
783,0
700,1
476,0
682,0
511,0
58,1
475,0
561,0
748,0
253,0
21,1
314,0
460,1
161,1
277,0
192,1
386,0
806,0
414,1
492,0
344,0
770,0
309,1
662,0
131,0
664,1
873,0
100,0
373,0
88,1
459,0
331,0
215,1
467,0
122,0
615,1
20,0
701,1
72,0
107,1
271,1
862,1
436,0
103,0
